Rooms,Type,Price,Bathroom,Car,BuildingArea,YearBuilt,Price_Category
2,3,1275000,1,0.0,82.0,1900.0,1
3,3,2850000,2,0.0,198.0,1890.0,1
3,3,1850000,2,0.0,133.0,1890.0,1
2,3,1436000,1,0.0,81.0,1900.0,1
4,3,2300000,2,1.0,180.0,1880.0,1
3,3,1800000,2,1.0,159.0,1996.0,1
2,3,2120000,1,1.0,107.0,1900.0,1
3,3,1800000,2,1.0,122.0,1900.0,1
3,3,2615000,2,1.0,181.0,1880.0,1
3,3,1370000,2,2.0,85.0,2000.0,1
2,3,1322500,1,0.0,98.0,1890.0,1
2,3,1562500,1,0.0,83.0,1890.0,1
3,3,2000000,2,1.0,147.0,1900.0,1
3,3,3010000,2,0.0,146.0,1890.0,1
4,3,2800000,3,1.0,254.0,1910.0,1
3,3,2100000,1,1.0,123.0,1900.0,1
3,3,2000000,1,1.0,131.0,1890.0,1
1,1,442500,1,0.0,34.0,1970.0,0
4,3,2140000,2,1.0,145.0,1880.0,1
2,3,980000,1,0.0,68.0,1890.0,0
3,3,1740000,2,2.0,134.0,1890.0,1
1,3,985000,1,0.0,54.0,1900.0,0
2,1,599000,1,1.0,76.0,1964.0,0
3,1,995000,2,2.0,100.0,1998.0,0
3,2,1205000,2,2.0,105.0,2000.0,1
3,3,1939000,2,2.0,150.0,1889.0,1
3,3,1870000,1,1.0,116.0,1888.0,1
3,2,1918000,2,2.0,165.0,1995.0,1
3,3,2050000,2,1.0,116.0,1910.0,1
3,1,735000,2,1.0,14.0,1970.0,0
1,3,1435000,2,1.0,107.0,1900.0,1
1,1,280000,1,1.0,38.0,1975.0,0
2,1,592500,1,1.0,73.0,1970.0,0
2,3,1210000,1,0.0,96.0,1910.0,1
4,3,2801000,2,2.0,222.0,1900.0,1
3,3,1800000,2,2.0,121.0,1910.0,1
4,3,2200000,1,2.0,163.0,1900.0,1
1,1,440000,1,1.0,53.0,1970.0,0
3,3,1300000,1,2.0,106.0,1900.0,1
2,1,704000,1,1.0,74.0,1969.0,0
2,1,620000,1,1.0,98.0,1970.0,0
3,3,1900000,1,2.0,108.0,1900.0,1
2,1,710000,1,1.0,80.0,1970.0,0
2,1,598000,1,1.0,88.0,1970.0,0
3,3,1285000,1,2.0,80.0,1920.0,1
2,1,520000,1,1.0,76.0,1970.0,0
3,2,1101000,1,2.0,3.0,2000.0,0
3,1,869000,1,1.0,91.0,1940.0,0
1,1,567000,1,1.0,53.0,2013.0,0
3,3,1670000,2,2.0,220.0,1930.0,1
3,3,1555000,2,2.0,149.0,1935.0,1
3,3,1100000,3,2.0,178.0,2004.0,0
3,3,1337000,1,2.0,112.0,1950.0,1
3,3,1518000,2,2.0,145.0,1920.0,1
3,3,1710000,1,2.0,101.0,1950.0,1
3,3,1655000,1,3.0,152.0,1940.0,1
4,3,1550000,2,2.0,180.0,1938.0,1
3,3,1662000,2,2.0,228.0,2006.0,1
3,3,1665000,2,3.0,145.0,1945.0,1
3,2,900000,2,2.0,110.0,1990.0,0
3,3,1500000,2,2.0,139.0,1945.0,1
3,3,1830000,2,3.0,168.0,1940.0,1
3,3,1415000,1,1.0,111.0,1950.0,1
2,3,1440000,1,1.0,104.0,1940.0,1
4,2,1250000,2,2.0,199.0,2007.0,1
4,3,1860000,2,3.0,274.0,2000.0,1
4,3,1790000,2,2.0,240.0,1935.0,1
4,3,1950000,2,2.0,278.0,1940.0,1
3,3,1650000,1,1.0,164.0,1947.0,1
4,3,1200000,3,2.0,201.0,2016.0,1
2,3,1075000,1,2.0,114.0,1950.0,0
4,3,1500000,2,2.0,203.0,2000.0,1
2,2,700000,1,2.0,110.0,1970.0,0
4,3,1100000,2,2.0,152.0,1970.0,0
2,1,690000,1,1.0,90.0,2003.0,0
3,3,1631000,2,3.0,215.0,1950.0,1
4,3,1500000,2,1.0,255.0,1930.0,1
5,3,1529500,3,2.0,317.0,2000.0,1
2,1,600000,1,1.0,80.0,1970.0,0
4,3,1240000,2,2.0,192.0,1950.0,1
2,1,700000,1,2.0,88.0,2007.0,0
2,3,1110000,1,1.0,86.0,1950.0,0
3,3,1305000,1,1.0,120.0,1960.0,1
3,3,855000,2,1.0,85.0,1958.0,0
3,2,900500,2,2.0,134.0,2012.0,0
3,3,1200000,2,2.0,198.0,1970.0,1
3,2,830000,1,2.0,130.0,2012.0,0
4,3,1819000,2,1.0,180.0,1900.0,1
2,1,410000,1,2.0,61.0,1965.0,0
2,2,1015000,1,2.0,120.0,2000.0,0
2,1,502500,1,1.0,65.0,1960.0,0
2,1,520000,1,0.0,58.0,1970.0,0
2,1,442000,1,1.0,61.0,1960.0,0
3,3,1193000,1,1.0,100.0,1920.0,1
2,1,416000,1,1.0,49.0,1960.0,0
2,1,474000,1,1.0,59.0,1970.0,0
2,3,981000,1,0.0,84.0,1930.0,0
3,3,1690000,2,2.0,159.0,1890.0,1
2,1,540000,1,1.0,51.0,1970.0,0
2,3,2100000,1,1.0,123.0,1920.0,1
4,3,1800000,2,2.0,218.0,1985.0,1
2,2,1255000,1,1.0,129.0,2000.0,1
3,1,1070000,2,2.0,112.0,1998.0,0
4,3,2400000,2,2.0,226.0,1985.0,1
3,3,2200000,3,2.0,266.0,1960.0,1
2,1,806000,1,1.0,97.0,1977.0,0
5,3,2250000,3,2.0,356.0,2006.0,1
5,3,2800000,3,2.0,349.0,2001.0,1
2,3,1850000,1,1.0,166.0,1930.0,1
3,3,700000,1,1.0,110.0,1970.0,0
2,3,500000,1,1.0,72.0,1960.0,0
3,3,2125000,2,2.0,252.0,1985.0,1
4,3,1800000,2,2.0,200.0,1948.0,1
2,1,635000,1,1.0,70.0,2014.0,0
2,1,526000,1,1.0,73.0,1960.0,0
3,3,905000,1,2.0,150.0,1995.0,0
4,3,1750000,3,2.0,308.0,2016.0,1
2,2,760000,1,1.0,100.0,1960.0,0
3,2,1367000,2,2.0,164.0,2003.0,1
4,2,1400000,3,2.0,240.0,2009.0,1
2,1,625000,1,1.0,104.0,1960.0,0
4,3,2730000,3,2.0,336.0,1997.0,1
2,1,460000,1,1.0,79.0,1950.0,0
2,1,1053000,1,2.0,98.0,1985.0,0
3,2,1472000,2,2.0,170.0,1995.0,1
2,1,754000,1,1.0,88.0,1990.0,0
4,3,2188000,2,2.0,253.0,1981.0,1
2,1,755000,1,1.0,92.0,1980.0,0
4,3,2410000,2,1.0,207.0,1940.0,1
2,1,650000,1,1.0,150.0,1960.0,0
4,3,2000000,1,2.0,291.0,1930.0,1
4,3,1900000,2,1.0,155.0,1940.0,1
3,3,1750000,2,3.0,193.0,1943.0,1
5,3,2450000,2,2.0,260.0,1960.0,1
2,1,730000,1,1.0,80.0,1960.0,0
3,3,1500000,2,2.0,190.0,2011.0,1
4,3,1700000,1,1.0,115.0,1935.0,1
3,2,1315000,2,2.0,167.0,2000.0,1
3,3,1500000,2,1.0,154.0,1950.0,1
4,3,1905000,2,2.0,185.0,1955.0,1
4,3,1900000,2,2.0,215.0,1955.0,1
3,3,2251000,1,2.0,137.0,1950.0,1
4,3,2205000,2,2.0,214.0,1950.0,1
3,3,1265000,2,1.0,160.0,2011.0,1
4,3,1750000,2,2.0,185.0,1960.0,1
3,3,1450000,1,2.0,124.0,1950.0,1
4,3,2614000,2,2.0,150.0,1955.0,1
4,3,1825000,2,3.0,225.0,1958.0,1
3,2,1150000,2,1.0,144.0,2003.0,0
4,3,1572000,2,2.0,330.0,1965.0,1
4,3,1850000,2,2.0,254.0,1990.0,1
4,3,2130000,3,2.0,275.0,1970.0,1
4,3,1740000,2,2.0,275.0,1993.0,1
4,3,2575000,3,2.0,355.0,2006.0,1
4,3,1388800,2,1.0,247.0,1970.0,1
4,3,2910000,3,2.0,247.0,1992.0,1
5,3,2200000,3,2.0,355.0,1955.0,1
3,3,1700000,2,3.0,168.0,1960.0,1
3,3,1230000,3,1.0,188.0,2012.0,1
4,3,1950000,3,2.0,232.0,1970.0,1
5,3,1750000,2,2.0,170.0,1955.0,1
5,3,2000000,2,2.0,244.0,1950.0,1
4,3,3000000,3,2.0,50.0,1960.0,1
3,3,1818000,1,1.0,90.0,1930.0,1
4,3,2525000,2,2.0,196.0,1960.0,1
4,3,1720000,3,2.0,170.0,1950.0,1
4,3,1675000,2,2.0,201.0,1974.0,1
4,2,1680000,3,1.0,200.0,2014.0,1
4,3,2205000,2,2.0,250.0,1950.0,1
3,3,2100000,2,3.0,175.0,1940.0,1
2,3,685000,1,1.0,85.0,1975.0,0
3,3,1335000,2,2.0,177.0,2009.0,1
2,1,1040000,1,1.0,112.0,1995.0,0
4,3,1250000,2,2.0,153.0,1950.0,1
5,3,1875000,3,2.0,200.0,1961.0,1
4,3,1530000,2,2.0,198.0,1960.0,1
3,3,1651000,1,2.0,151.0,1960.0,1
5,3,1920000,3,2.0,355.0,1955.0,1
5,3,1560000,2,3.0,199.0,1980.0,1
3,3,1038000,2,1.0,144.0,2003.0,0
5,3,1660000,3,2.0,193.0,1950.0,1
3,3,1770000,2,1.0,147.0,1955.0,1
2,1,691500,1,1.0,102.0,1968.0,0
3,1,875000,1,2.0,121.0,1950.0,0
3,3,1425000,2,2.0,143.0,1960.0,1
2,2,851000,1,1.0,250.0,1970.0,0
3,3,1222500,2,2.0,181.0,2000.0,1
3,3,1317500,1,1.0,127.0,1945.0,1
2,1,360000,1,1.0,69.0,1965.0,0
4,2,1435000,3,2.0,212.0,2012.0,1
3,3,1110000,1,2.0,164.0,1940.0,0
4,3,2435000,2,2.0,250.0,1928.0,1
3,3,1500000,2,1.0,222.0,1940.0,1
4,3,1300000,2,2.0,194.0,1940.0,1
3,3,1125000,1,2.0,116.0,1948.0,0
4,3,1328000,2,2.0,112.0,1940.0,1
3,3,1340000,2,1.0,135.0,1910.0,1
4,2,1155000,3,2.0,205.0,2010.0,0
2,3,855000,1,1.0,103.0,1940.0,0
2,1,650000,1,1.0,92.0,1960.0,0
4,3,2255000,3,2.0,353.0,2008.0,1
4,3,1860000,2,3.0,197.0,1930.0,1
2,1,725000,1,1.0,100.0,1990.0,0
3,3,1293000,1,1.0,108.0,1950.0,1
3,3,1328000,2,2.0,245.0,1970.0,1
4,2,1247000,2,3.0,255.0,2008.0,1
3,3,1370000,1,2.0,143.0,1950.0,1
3,3,1095000,2,1.0,170.0,1965.0,0
2,1,725000,1,1.0,88.0,2012.0,0
3,2,825000,2,2.0,149.0,2007.0,0
3,2,1235000,2,2.0,160.0,2012.0,1
3,3,1165000,1,2.0,125.0,1950.0,0
2,1,820000,1,3.0,109.0,1960.0,0
4,3,1430000,2,2.0,168.0,1970.0,1
2,3,910000,1,2.0,96.0,1970.0,0
5,3,1900000,2,2.0,250.0,1926.0,1
2,2,670000,2,1.0,90.0,2007.0,0
2,2,680000,1,1.0,107.0,1998.0,0
4,2,1320000,3,3.0,220.0,2010.0,1
6,3,1900000,3,2.0,275.0,1988.0,1
3,3,1535000,2,2.0,150.0,1930.0,1
5,3,1385000,2,2.0,178.0,1950.0,1
2,3,825000,2,1.0,125.0,2008.0,0
2,1,746000,1,2.0,95.0,2002.0,0
5,3,1275000,2,2.0,190.0,1960.0,1
3,1,1025000,2,2.0,120.0,1999.0,0
2,1,495000,1,1.0,79.0,1980.0,0
4,3,1220000,2,2.0,178.0,1950.0,1
3,3,885000,1,2.0,110.0,1950.0,0
3,2,830000,2,2.0,141.0,2012.0,0
4,2,1210000,3,2.0,222.0,2014.0,1
4,2,1160000,2,2.0,180.0,2006.0,0
3,3,1215000,2,3.0,110.0,1970.0,1
4,3,1200000,2,2.0,191.0,1960.0,1
3,3,1050000,2,2.0,140.0,1950.0,0
2,1,380000,2,1.0,78.0,1970.0,0
2,3,689000,1,1.0,87.0,1960.0,0
3,3,1338000,2,2.0,177.0,1970.0,1
2,1,651000,1,1.0,150.0,1960.0,0
3,3,1390000,2,2.0,118.0,1960.0,1
3,3,1100000,1,2.0,163.0,1955.0,0
4,3,1206000,1,1.0,138.0,1940.0,1
2,2,486500,1,1.0,75.0,1960.0,0
4,3,1415000,2,2.0,177.0,1970.0,1
4,2,1185000,2,2.0,207.0,2012.0,0
4,2,1060000,3,1.0,166.0,1960.0,0
3,3,845000,2,2.0,145.0,1998.0,0
3,2,860000,2,1.0,117.0,1995.0,0
3,2,921000,2,2.0,140.0,2009.0,0
2,3,742500,1,1.0,135.0,1960.0,0
3,3,920000,2,2.0,120.0,1950.0,0
4,3,1010000,1,2.0,112.0,1960.0,0
2,3,702000,1,1.0,102.0,1960.0,0
3,2,805000,2,1.0,117.0,2000.0,0
4,3,1100000,2,1.0,190.0,2004.0,0
2,3,722000,2,1.0,79.0,2005.0,0
3,3,930000,1,2.0,133.0,1960.0,0
3,3,921000,2,1.0,119.0,2000.0,0
4,3,1035000,1,2.0,160.0,1950.0,0
4,3,1352000,2,2.0,196.0,1950.0,1
4,2,1005000,2,2.0,205.0,2006.0,0
5,3,1600000,2,2.0,315.0,1930.0,1
3,3,1200000,1,1.0,120.0,1970.0,1
3,3,780000,2,2.0,126.0,1950.0,0
4,2,1250000,2,2.0,231.0,2010.0,1
4,3,1110000,2,2.0,176.0,1960.0,0
4,3,1690000,2,2.0,165.0,1950.0,1
3,1,791000,3,1.0,122.0,1950.0,0
3,3,900000,1,3.0,140.0,1940.0,0
3,2,970000,2,2.0,156.0,2000.0,0
3,3,823000,2,2.0,143.0,2003.0,0
4,2,1045000,2,1.0,190.0,2010.0,0
2,1,655000,1,1.0,80.0,2000.0,0
5,3,1550000,3,2.0,257.0,1950.0,1
3,3,835000,1,1.0,105.0,1980.0,0
4,2,1465000,2,2.0,256.0,2015.0,1
3,3,910000,1,1.0,96.0,1950.0,0
3,1,920000,2,1.0,123.0,2007.0,0
3,2,935000,2,2.0,160.0,2012.0,0
3,3,977000,1,2.0,163.0,1970.0,0
3,3,1352000,1,2.0,122.0,1950.0,1
4,3,1115000,2,2.0,160.0,1960.0,0
3,3,1197000,1,2.0,147.0,1949.0,1
2,1,485000,2,2.0,83.0,2011.0,0
4,3,1365000,1,1.0,151.0,1960.0,1
4,3,1698888,2,2.0,337.0,2006.0,1
3,2,965000,2,1.0,28.0,2010.0,0
3,1,870000,2,2.0,150.0,2011.0,0
3,3,1161000,2,3.0,168.0,1950.0,0
3,3,1266000,1,3.0,146.0,1970.0,1
3,2,700000,2,2.0,200.0,2008.0,0
3,1,770000,2,1.0,132.0,2005.0,0
1,1,380000,1,1.0,99.0,1970.0,0
4,3,1175000,2,2.0,158.0,1980.0,0
3,3,1200000,1,1.0,120.0,1960.0,1
4,3,1370000,1,2.0,196.0,1970.0,1
4,3,1433500,1,1.0,186.0,1950.0,1
3,2,860000,2,1.0,131.0,2005.0,0
2,1,715000,1,1.0,114.0,1995.0,0
2,3,710000,1,1.0,115.0,1950.0,0
5,3,1550000,3,2.0,296.0,2007.0,1
3,1,790000,1,2.0,100.0,1996.0,0
3,3,1020000,1,2.0,144.0,1960.0,0
3,3,886000,2,1.0,122.0,2012.0,0
4,3,1015000,2,3.0,198.0,1997.0,0
4,3,1255000,2,2.0,167.0,1950.0,1
3,3,1320000,1,1.0,94.0,1950.0,1
3,3,870000,2,1.0,133.0,1950.0,0
4,3,1472500,2,2.0,219.0,2013.0,1
2,3,640000,2,2.0,118.0,2005.0,0
3,3,1635000,1,2.0,156.0,1920.0,1
2,1,536000,1,2.0,70.0,1970.0,0
3,3,1975000,1,2.0,122.0,1930.0,1
3,3,1390000,1,2.0,137.0,1975.0,1
4,3,2905000,3,1.0,260.0,1905.0,1
2,1,1300000,2,2.0,132.0,1940.0,1
3,2,1725000,2,2.0,225.0,1997.0,1
3,3,2100000,2,2.0,209.0,1970.0,1
2,1,800000,1,1.0,74.0,1960.0,0
4,3,1761000,2,3.0,135.0,1920.0,1
3,3,1302500,2,2.0,171.0,1993.0,1
5,3,2750000,3,1.0,341.0,2005.0,1
2,1,892500,1,2.0,92.0,1970.0,0
4,3,2145000,2,1.0,197.0,1910.0,1
5,3,3171000,2,2.0,340.0,2000.0,1
2,1,620000,2,1.0,74.0,2013.0,0
3,2,1475000,2,2.0,163.0,2000.0,1
3,3,1650000,2,2.0,111.0,1980.0,1
5,3,1562500,2,2.0,202.0,1925.0,1
3,3,2050000,3,2.0,262.0,2012.0,1
2,1,1100000,1,2.0,85.0,1935.0,0
3,3,1650000,2,1.0,143.0,1910.0,1
2,3,1570000,1,0.0,111.0,1920.0,1
3,3,1785000,2,1.0,118.0,1953.0,1
3,3,1875000,2,2.0,170.0,1991.0,1
3,1,1266000,1,2.0,116.0,1950.0,1
1,1,375000,1,1.0,40.0,1965.0,0
2,1,756000,1,1.0,80.0,1920.0,0
3,3,2375000,2,2.0,302.0,2000.0,1
3,3,1385000,1,2.0,120.0,1935.0,1
2,1,858000,1,1.0,75.0,1950.0,0
4,3,2475000,2,2.0,274.0,1920.0,1
4,3,2700000,2,2.0,333.0,1925.0,1
2,1,610000,1,1.0,75.0,2005.0,0
2,3,1532000,1,2.0,165.0,1910.0,1
2,2,1037000,1,2.0,2.0,2009.0,0
4,2,1630000,2,2.0,196.0,2000.0,1
4,3,2640000,2,2.0,246.0,1975.0,1
1,1,671000,1,1.0,74.0,1980.0,0
4,2,2250000,2,2.0,281.0,2012.0,1
3,3,2900000,1,1.0,161.0,1942.0,1
4,3,2405000,1,2.0,142.0,1970.0,1
3,1,1352500,2,1.0,110.0,1993.0,1
5,3,3105000,2,2.0,304.0,1930.0,1
4,3,1500000,2,1.0,195.0,1990.0,1
4,3,1940000,2,2.0,240.0,1960.0,1
4,3,1850000,2,2.0,268.0,1940.0,1
3,3,930000,1,1.0,117.0,1930.0,0
4,3,1310000,3,2.0,213.0,2008.0,1
4,3,2504000,2,2.0,183.0,1950.0,1
2,3,1445000,1,1.0,126.0,1940.0,1
5,3,1700000,2,1.0,274.0,1935.0,1
3,3,1500000,2,2.0,228.0,2000.0,1
3,3,1400000,1,3.0,182.0,1950.0,1
5,3,1600000,2,2.0,245.0,1945.0,1
2,3,1780000,3,2.0,119.0,1935.0,1
2,1,775000,1,1.0,90.0,1960.0,0
3,3,1480000,2,2.0,143.0,1925.0,1
3,3,1590000,3,2.0,244.0,2012.0,1
4,3,2840000,2,2.0,274.0,1972.0,1
2,3,1000000,1,2.0,131.0,1948.0,0
3,1,880000,2,2.0,34.0,1990.0,0
4,3,1920000,1,1.0,203.0,1960.0,1
3,3,1301000,2,2.0,121.0,1926.0,1
5,3,2550000,3,2.0,233.0,1960.0,1
5,3,1915000,2,0.0,238.0,1970.0,1
4,3,1650000,3,2.0,212.0,1948.0,1
4,3,1530000,2,1.0,177.0,1920.0,1
5,3,2550000,3,2.0,346.0,2016.0,1
2,1,905000,1,2.0,93.0,1980.0,0
3,3,1355000,1,2.0,151.0,1930.0,1
2,3,1845000,1,2.0,145.0,1950.0,1
5,3,2050000,3,3.0,309.0,1970.0,1
3,3,1710000,3,2.0,228.0,1915.0,1
3,2,1300000,2,2.0,222.0,2000.0,1
4,3,2200000,2,2.0,286.0,2000.0,1
4,3,2150000,3,2.0,225.0,1970.0,1
1,2,681000,1,1.0,60.0,2012.0,0
2,3,1310000,3,2.0,250.0,2018.0,1
1,1,340000,1,1.0,57.0,1950.0,0
2,1,692000,1,1.0,66.0,1960.0,0
4,2,1367000,2,2.0,4.0,2000.0,1
2,1,903000,1,1.0,101.0,1970.0,0
2,3,1813000,1,2.0,117.0,1930.0,1
5,3,1655000,2,2.0,288.0,1950.0,1
3,2,1230000,2,2.0,193.0,1980.0,1
4,3,1389000,1,2.0,150.0,1930.0,1
4,3,2310000,2,2.0,130.0,1930.0,1
2,2,1014000,1,1.0,131.0,1990.0,0
5,3,1590000,3,2.0,253.0,1940.0,1
4,3,1890000,2,2.0,111.0,1960.0,1
3,1,1022500,2,2.0,130.0,2000.0,0
3,3,1755000,1,1.0,145.0,1970.0,1
3,3,1300000,1,1.0,136.0,1950.0,1
3,3,1160000,1,1.0,111.0,1950.0,0
4,3,2000000,3,2.0,229.0,1996.0,1
3,3,790000,1,2.0,103.0,1960.0,0
4,3,1682000,2,1.0,174.0,1950.0,1
3,1,625000,2,1.0,115.0,2002.0,0
2,1,650000,1,1.0,120.0,1975.0,0
5,3,1060000,3,2.0,210.0,2013.0,0
4,3,1255000,2,2.0,210.0,2005.0,1
2,3,633000,1,1.0,92.0,1965.0,0
2,3,1350000,1,2.0,82.0,1950.0,1
3,3,570000,1,1.0,112.0,1950.0,0
3,2,745000,1,2.0,126.0,1998.0,0
3,1,746000,1,2.0,92.0,1995.0,0
3,3,1540000,2,2.0,120.0,1950.0,1
4,2,1270000,2,2.0,212.0,2005.0,1
4,2,900000,3,2.0,176.0,2013.0,0
4,3,1250000,2,2.0,220.0,2005.0,1
4,3,1410000,2,3.0,182.0,1970.0,1
4,1,800000,2,1.0,150.0,1950.0,0
3,2,702000,2,1.0,106.0,2001.0,0
4,3,2650000,2,1.0,189.0,1890.0,1
2,1,729000,1,1.0,87.0,1970.0,0
3,3,1650000,2,2.0,189.0,1998.0,1
2,1,615000,1,1.0,68.0,1960.0,0
3,3,1987000,2,2.0,164.0,1960.0,1
